Latitude,Longitude,Cafes,Colleges,Schools,Offices,Cluster,Opportunity_Score
21.16000000000001,79.06,2,13,4,36,1,160
21.170000000000012,79.07000000000001,1,9,9,28,1,127
21.15000000000001,79.06,3,10,5,28,1,123
21.15000000000001,79.07000000000001,2,9,13,26,1,123
21.130000000000006,79.10000000000002,1,12,28,16,3,122
21.170000000000012,79.06,3,10,3,28,1,121
21.140000000000008,79.07000000000001,3,11,10,24,1,120
21.16000000000001,79.07000000000001,3,9,11,26,1,119
21.120000000000005,79.07000000000001,9,9,16,27,2,115
21.140000000000008,79.08000000000001,1,10,13,21,1,114
21.15000000000001,79.08000000000001,2,10,11,21,1,110
21.170000000000012,79.05,3,6,5,28,1,107
21.120000000000005,79.10000000000002,0,10,26,13,3,105
21.120000000000005,79.11000000000003,1,10,25,14,3,105
21.130000000000006,79.11000000000003,1,9,22,16,3,104
21.110000000000003,79.06,14,4,11,34,2,101
21.120000000000005,79.09000000000002,0,9,23,14,3,101
21.120000000000005,79.06,14,10,13,24,2,97
21.130000000000006,79.09000000000002,1,9,17,15,3,96
21.16000000000001,79.08000000000001,2,8,11,19,1,96
21.140000000000008,79.06,3,11,9,15,1,92
21.130000000000006,79.08000000000001,1,10,14,13,3,91
21.110000000000003,79.08000000000001,5,3,10,26,1,90
21.130000000000006,79.07000000000001,5,10,17,14,3,89
21.180000000000014,79.05,3,5,2,24,1,88
21.130000000000006,79.06,9,11,11,17,2,88
21.120000000000005,79.12000000000003,1,8,21,12,3,87
21.120000000000005,79.08000000000001,0,9,12,13,3,87
21.16000000000001,79.05,3,8,3,19,1,86
21.110000000000003,79.07000000000001,12,3,10,29,2,85
21.15000000000001,79.05,3,8,5,17,1,82
21.140000000000008,79.09000000000002,1,5,15,16,3,81
21.1,79.07000000000001,5,2,6,25,1,79
21.140000000000008,79.10000000000002,0,8,13,11,3,78
21.170000000000012,79.08000000000001,1,6,10,14,3,74
21.180000000000014,79.06,2,3,2,21,1,73
21.140000000000008,79.11000000000003,1,8,12,10,3,72
21.110000000000003,79.05,14,2,7,28,2,71
21.130000000000006,79.12000000000003,1,7,18,9,3,71
21.180000000000014,79.07000000000001,1,7,4,13,1,69
21.1,79.06,11,1,6,27,2,69
21.110000000000003,79.10000000000002,0,3,22,10,3,64
21.1,79.08000000000001,5,1,2,22,1,62
21.110000000000003,79.11000000000003,0,3,20,9,3,59
21.140000000000008,79.05,4,8,7,9,1,58
21.110000000000003,79.12000000000003,0,3,20,8,3,56
21.1,79.05,11,1,5,23,2,56
21.110000000000003,79.09000000000002,0,4,14,8,3,54
21.130000000000006,79.05,11,8,8,12,2,54
21.15000000000001,79.09000000000002,1,3,13,10,3,53
21.140000000000008,79.12000000000003,1,7,11,5,3,52
