Latitude,Longitude,Schools,Colleges,Offices,BusStops,XeroxShops
21.1,79.05,5,1,23,0,3
21.1,79.06,6,1,27,0,3
21.1,79.07000000000001,6,2,25,0,2
21.1,79.08000000000001,2,1,22,0,2
21.1,79.09000000000002,3,1,3,0,1
21.1,79.10000000000002,11,2,2,1,3
21.1,79.11000000000003,13,2,2,4,3
21.1,79.12000000000003,9,1,4,4,2
21.1,79.13000000000004,5,0,4,2,0
21.1,79.14000000000004,0,0,3,0,0
21.1,79.15000000000005,0,0,3,0,0
21.110000000000003,79.05,7,2,28,1,6
21.110000000000003,79.06,11,4,34,1,5
21.110000000000003,79.07000000000001,10,3,29,0,5
21.110000000000003,79.08000000000001,10,3,26,0,2
21.110000000000003,79.09000000000002,14,4,8,0,2
21.110000000000003,79.10000000000002,22,3,10,3,4
21.110000000000003,79.11000000000003,20,3,9,4,4
21.110000000000003,79.12000000000003,20,3,8,4,4
21.110000000000003,79.13000000000004,3,0,5,3,0
21.110000000000003,79.14000000000004,2,0,4,0,0
21.110000000000003,79.15000000000005,0,0,3,0,0
21.120000000000005,79.05,11,5,14,1,4
21.120000000000005,79.06,13,10,24,1,4
21.120000000000005,79.07000000000001,16,9,27,1,4
21.120000000000005,79.08000000000001,12,9,13,0,1
21.120000000000005,79.09000000000002,23,9,14,0,2
21.120000000000005,79.10000000000002,26,10,13,2,4
21.120000000000005,79.11000000000003,25,10,14,4,4
21.120000000000005,79.12000000000003,21,8,12,4,4
21.120000000000005,79.13000000000004,5,1,6,2,1
21.120000000000005,79.14000000000004,2,0,4,0,0
21.120000000000005,79.15000000000005,0,0,0,0,0
21.130000000000006,79.05,8,8,12,1,3
21.130000000000006,79.06,11,11,17,1,3
21.130000000000006,79.07000000000001,17,10,14,3,2
21.130000000000006,79.08000000000001,14,10,13,1,0
21.130000000000006,79.09000000000002,17,9,15,1,0
21.130000000000006,79.10000000000002,28,12,16,1,2
21.130000000000006,79.11000000000003,22,9,16,3,2
21.130000000000006,79.12000000000003,18,7,9,2,1
21.130000000000006,79.13000000000004,4,3,2,0,0
21.130000000000006,79.14000000000004,3,0,2,0,0
21.130000000000006,79.15000000000005,3,0,0,0,0
21.140000000000008,79.05,7,8,9,1,0
21.140000000000008,79.06,9,11,15,3,2
21.140000000000008,79.07000000000001,10,11,24,3,0
21.140000000000008,79.08000000000001,13,10,21,3,0
21.140000000000008,79.09000000000002,15,5,16,2,0
21.140000000000008,79.10000000000002,13,8,11,1,0
21.140000000000008,79.11000000000003,12,8,10,1,0
21.140000000000008,79.12000000000003,11,7,5,1,0
21.140000000000008,79.13000000000004,5,1,2,1,0
21.140000000000008,79.14000000000004,3,0,1,0,0
21.140000000000008,79.15000000000005,3,0,0,0,0
21.15000000000001,79.05,5,8,17,1,0
21.15000000000001,79.06,5,10,28,2,0
21.15000000000001,79.07000000000001,13,9,26,3,0
21.15000000000001,79.08000000000001,11,10,21,3,0
21.15000000000001,79.09000000000002,13,3,10,2,0
21.15000000000001,79.10000000000002,10,3,6,2,0
21.15000000000001,79.11000000000003,9,3,4,1,0
21.15000000000001,79.12000000000003,6,1,3,1,0
21.15000000000001,79.13000000000004,3,0,2,1,0
21.15000000000001,79.14000000000004,1,0,1,0,0
21.15000000000001,79.15000000000005,1,0,1,0,0
21.16000000000001,79.05,3,8,19,1,1
21.16000000000001,79.06,4,13,36,2,1
21.16000000000001,79.07000000000001,11,9,26,3,0
21.16000000000001,79.08000000000001,11,8,19,3,0
21.16000000000001,79.09000000000002,10,6,6,1,0
21.16000000000001,79.10000000000002,6,2,2,2,0
21.16000000000001,79.11000000000003,4,2,0,1,0
21.16000000000001,79.12000000000003,2,1,1,1,0
21.16000000000001,79.13000000000004,1,0,1,0,0
21.16000000000001,79.14000000000004,0,0,1,0,0
21.16000000000001,79.15000000000005,0,0,1,0,0
21.170000000000012,79.05,5,6,28,3,3
21.170000000000012,79.06,3,10,28,2,2
21.170000000000012,79.07000000000001,9,9,28,0,1
21.170000000000012,79.08000000000001,10,6,14,1,0
21.170000000000012,79.09000000000002,10,3,3,1,0
21.170000000000012,79.10000000000002,3,2,0,0,0
21.170000000000012,79.11000000000003,2,1,1,0,0
21.170000000000012,79.12000000000003,1,1,3,1,0
21.170000000000012,79.13000000000004,1,0,3,1,0
21.170000000000012,79.14000000000004,0,0,1,0,0
21.170000000000012,79.15000000000005,0,0,1,0,0
21.180000000000014,79.05,2,5,24,2,3
21.180000000000014,79.06,2,3,21,2,2
21.180000000000014,79.07000000000001,4,7,13,0,1
21.180000000000014,79.08000000000001,3,1,10,0,1
21.180000000000014,79.09000000000002,3,0,3,0,0
21.180000000000014,79.10000000000002,0,1,2,0,0
21.180000000000014,79.11000000000003,0,1,2,1,0
21.180000000000014,79.12000000000003,0,0,2,1,0
21.180000000000014,79.13000000000004,0,0,3,1,0
21.180000000000014,79.14000000000004,0,0,3,1,0
21.180000000000014,79.15000000000005,0,0,0,0,0
21.190000000000015,79.05,1,2,15,2,2
21.190000000000015,79.06,0,2,11,2,2
21.190000000000015,79.07000000000001,0,2,10,0,1
21.190000000000015,79.08000000000001,0,0,3,2,0
21.190000000000015,79.09000000000002,0,0,3,0,0
21.190000000000015,79.10000000000002,0,0,0,0,0
21.190000000000015,79.11000000000003,0,0,2,1,0
21.190000000000015,79.12000000000003,0,0,2,1,1
21.190000000000015,79.13000000000004,0,0,2,1,1
21.190000000000015,79.14000000000004,0,0,1,1,1
21.190000000000015,79.15000000000005,0,0,0,0,1
